id,name,text,Fecha muerte,Fecha beatificación / canonización,source,,
35,Adoración de los pastores,"Narración que procede unicamente del evangelio de Lucas. Al nacer el Niño, los pastores son anunciados de su nacimiento por un ángel, tradicionalmente San Gabriel. El tema no se desarrolló sino hasta el siglo XV, en el que aparecen varios pastores reverenciando al recién nacido y ofreciéndole regalos 'rústicos', como un huevo. Estos regalos no aparecen mencionados en el evangelio, posiblemente se hizo por imitación con la visita de los reyes.",,,"Biblia de Jerusalén, Lucas 2; 8ss.",,
8,Monjas coronadas vivas,"El acontecimiento crucial de la vida monástica era la profesión o el momento de la unión eterna con Cristo, y la muerte, la unión definitiva. El retrato de monjas coronadas inmortalizaba este momento, eje de la experiencia de fe. Las coronadas vivas ostentaban coronas o bastón de flores. La costumbre es mucho más frecuente en Nueva España del siglo XVIII.",,,,,
36,Alegorías sagrada familia,"La Sagrada familia es uno de los temas devocionales más importantes de los siglos XVII y XVIII. Estas alegorías pretendían enfatizar las virtudes que constituían al núcleo familiar, principalmente su caracter trinitario terrestre, la castidad de la vida conyugal y la predestinación.",,,,,
38,"Alejo, san","Santo romano, hijo de una familia patricia del siglo IV. Según la leyenda, rechazó el matrimonio por llevar una vida penitente, y vivió en adelante como mendigo. La leyenda cuenta que fue acogido en la casa de sus padres sin ser reconocido, donde vivió 17 años. Fue expurgado del santoral en 1969, debido a que su vida carece de sustentos históricos.",412,,,,
39,Asunción de la Virgen,"Acontecimiento de la vida de la Virgen sin sustentos bíblicos, procede de los textos apócrifos. La Asunción se opone a la Ascensión, es decir, la Virgen no asciende al cielo por sus propios medios, como Cristo, sino que es elevada por los ángeles. Este tema fue tradición de la Iglesia, sólo es dogma desde 1950. Se supone que ocurrió al tercer día después de su muerte. Apareció Cristo con san Miguel para llevarla (tradición bizantina), o sale de la tumba donde los apóstoles la habían sepultado (tradición occidental). ",,,http://historiarte.net/iconografía/asuncion.html; Ribadeneira 485-486,,
40,"Alipio de Tagaste, san","Nació en Tagaste, Norte de África.Toda su vida la vivió al lado de san Agustín, quien lo menciona en su libro las “Confesiones”. Alipio fue maniqueo buena parte de su vida y fue bautizado cristiano en 387. Nombrado obispo, se dedicó a la erradicación del paganismo y la doctrina arriana.",430,,https://www.es.catholic.net/op/articulos/37347/alipio-de-tagaste-santo.html,,
41,Alonso Rodriguez,"Nacido en Segovia. Estuvo casado algunos años, y al enviudar, entró a la Compañía de Jesús. Pasó su vida en Palma de Mallorca en vida comunitaria como hermano, donde  fue portero y sacristán. Durante el periodo colonial las pinturas lo representan como venerable, pues su beatificación y canonización es del siiglo XIX. ",1617,1825 - 1888,https://www.vaticannews.va/es/iglesia/news/2020-11/alfonso-rodriguez-jesuita-hermano-santo-portero.html,,
42,Última cena,"Pasaje bíblico que narra la celebración de la última pascua de Jesús, que también fue la última cena que tuvo con todos sus apóstoles antes de ser capturado. Para los católicos, la última cena marca la institución de la Eucaristía como símbolo de comunión entre los cristianos y Cristo.",,,https://www.biblegateway.com/passage/?search=Mateo%2026%3A17-30%2CLucas%2022%3A7-23&version=NVI ,,
43,Coronación de la Virgen,"No existe fundamento en las escrituras ni en la tradición sobre la coronación de la virgen, pero los doctores concluyeron que fue la recompensa que recibió por la obra redentora. El origen de la leyenda proviene de Melitón, obispo de sardes en el siglo V, divulgada por Gregorio de Tours en el siglo VI y Santiago de la Vorágine en el XIII. Constituye el colofón final del ciclo narrativo de la vida de la virgen, a continuación de su muerte o Asunción. ",,,"Cuadriello, 113.",,
44,"Amadeo IX de Saboya, Beato","Duque de Saboya desde 1465 hasta 1472. Nació en 1435, hijo mayor de Luis II de Saboya y Ana de Lusiñán. Contrajo matrimonio con Violante de Valois, también conocida como Yolanda de Saboya hija del rey de Francia Carlos VII y hermana de Luis XI. De este matrimonio nacieron nueve hijos, entre ellos la beata Luisa de Saboya. En 1465 sucedió a su padre y durante su mandato intentó recuperar las costumbres cristianas entre la nobleza. Fue protector de frailes franciscanos y amplio benefactor de otras casas religiosas y casas de auxilio y cuidado de los pobres. Murió en Verceli en el año 1472 en el día 31 de marzo, fecha en que la Iglesia celebra su fiesta.",1472,1667 - sf,,,
45,"Ambrosio, san","Destacado obispo de Milán y un importante teólogo y orador. Hermano de santa Marcelina, es uno de los cuatro Padres de la Iglesia Latina y uno de los 36 doctores de la Iglesia católica. Estudió en Roma y posteriormente entró en el servicio público, llegando a ser gobernador de Liguria y Emilia. Ordenado obispo en el 374, ocho días después de haber recibido el bautismo, se dedicó a la defensa de la Iglesia contra los paganos y los herejes. Escribió contra los arrianos y elaboró los principios fundamentales para regular las relaciones entre la Iglesia y el Estado Romano. Iconográficamente puede llevar látigo o una colmena de abejas, que alude a la miel de sus palabras.",397,,"Grenci, Damiano (2011), San Ambrosio, obispo de milan y doctor de la iglesia. http://www.preguntasantoral.es/2011/12/san-ambrosio-de-milan/",,
46,América (alegoría),"La pintura alegórica de los cuatro continentes simbolizaba las cuatro partes del mundo. Los continentes se representaban generalmente con forma de mujer, un animal simbólico y flora y fauna representativa. América era una indígena, territorio agreste y fieros animales, como los pumas. Pero además era usual la presencia del unicornio y los armadillos.",,,,,
47,Américo Vespucio,"Mercader italiano, nacido en Florencia, en 1454, y empleado por la casa ducal de los Médicis, quienes lo enviaron a supervisar su astillero en el puerto de Sevilla. Zarpó en 1499, siete años después del desembarque de Colón en las Antillas, hizo o dos viajes entre 1499 y 1501, y posiblemente un tercero en 1503. Durante su segundo viaje se dio cuenta que había llegado a un continente completamente nuevo y no a la India.",1512,,https://uh.edu/engines/epi1350spanish.htm,,
49,Amos Morrow,"Se sabe poco de Amos Morrow, fue retratado por Charles Peale Polk (1767-1822) probablemente en 1800, en Virginia. Polk tambien realizó retratos de su esposa Matilda y sus dos hijas.",,,https://emuseum.history.org/objects/58299/portrait-of-amos-morrow-?ctx=486c8ca421f21a5eeb18d0a81b9f2842be745c26&idx=14,,
50,Ana Antonia Teresa Delgadillo y Zotomayor,"Marquesa consorte de Villafuente. Nació en Lima aproximadamente entre 1640 y 1698. Fue esposa de Joseph Félix de Urdanegui y Oviedo Luján, II Marqués de Villafuerte, de quien adquirió el título. En 1711 se casó con Juan Bautista de Orieta e Irusta Alcalde del Crimen de la Audiencia Real de Lima.",1712,,https://www.geni.com/people/Ana-Delgadillo-Sotomayor-y-Bol%C3%ADvar-Marquesa-Consorte-de-Villafuerte/6000000012983099901,,
51,Ana Cristina Pablo Fernandez Arteaga Mendizábal,"Nació en la Ciudad de México el 7 de octubre de 1708. Se casó el 9 de junio 1726 con Agustín Iglesias Cotillo con quien tuvo doce hijos. En abril de 1759 recibió el hábito de la tercera orden del Carmen. Murió en la Ciudad de México hacia finales del siglo XVIII, en fecha posterior a 1778.",,,"Cruz Lazcano, V. (2016). Hermanos de sangre y religión. Oligarquías y la orden del Carmen en Nueva España. Universidad del Claustro de Sor Juana. https://www.museocjv.com/Victor%20Cruz%20Lazcano.pdf              http://gw.geneanet.org/sanchiz?lang=es&p=ana+cristina&n=pablo+fernandez+arteaga+mendizabal",,
52,Milagro de Soriano,"Se cuenta que el 15 de noviembre de 1530, en el convento de los Dominicos de la ciudad de Soriano, la Virgen se apareció a Fray Lorenzo da Grotteria, hermano sacristán, y le entregó una tela con el verdadero retrato del fundador de su Orden, Santo Domingo.",,,https://www.dominicos.org/quienes-somos/santo-domingo-de-guzman/iconografia/santo-domingo/santo-domingo-en-soriano/,,
53,"Eustaquio, san","Patricio romano de nombre Plácido. La leyenda cuenta que un dia salió de caza, y vio un crucifijo entre las astas de un ciervo y oyó una voz que le dijo: «Eustaquio, ¿por qué me persigues?"" Convertido, se bautizó con su mujer y sus hijos, y cambió su nombre por el de Eustaquio. Murió martirizado.",118,,http://magnificat.ca/cal/esp/09-20.htm,,
55,Barrabás,"Es un personaje citado en el Nuevo Testamento durante el proceso de Jesús ante Poncio Pilato. Aparece en los cuatro evangelios, identificado por Juan como bandolero; por Mateo como “un preso famoso”; mientras Marcos y Lucas exponen que estaba encarcelado por haber participado en un motín en el que se había cometido un homicidio. La pena para su crimen habría sido la crucifixión, pero según el relato se debía indultar a un preso sentenciado a muerte durante la Pascua mediante aclamación popular, la cual pidió la liberación de Barrabás, con la consecuente crucifixión de Jesús.",,,https://www.biblia.work/diccionarios/barrabas/,,
56,"Francisco Javier, Predicación de san","Nació en el castillo de Javier (Navarra) el año 1506. Fue ordenado sacerdote en Roma el año 1537, y se dedicó a obras de caridad. El año 1541 marchó al Oriente. Evangelizó incansablemente la India y el Japón durante diez años, y convirtió muchos a la fe. Murió el año 1552 en la isla de Sanchón Sancián, a las puertas de China. El Papa Pío X lo nombró patrono oficial de las misiones extranjeras y de todas las obras relacionadas con la propagación de la fe. ",1552,1619 - 1622,https://www.corazones.org/santos/francisco_javier.htm,,
57,Caifás,"Caifás fue nombrado sumo sacerdote de los judíos por el procurador romano Valerio Grato alrededor del año 18 d.C. Caifás era el único sumo sacerdote oficial en el tiempo a que se refiere San Lucas, al comienzo de la vida pública de Jesucristo. Perteneció a la secta de los saduceos, y fue parte de los líderes que logró la condena a muerte de Jesús de Nazaret. En el año 36 fue destituido por el procurador Vitelio. ",,,https://faithmag.com/quien-era-caifas,,
58,Ana Josefa de Guzmán y Lecaros de Larraín Lecaros,"Nació en Santiago, Chile en 1765Madre del primer Marqués de Larrain. El título fue solicitado originalmente por su esposo Agustín de Larraín y Lecaros (1746-1784) pero fue entregado tres años luego de su muerte, el 29 de enero de 1787, a su hijo José Toribio. ",1832,,https://www.geni.com/people/Ana-Josefa-Guzm%C3%A1n-Peralta-Lecaros/6000000000728539983,,
59,Ana María de la Campa Cos,Nació en 1734 en México. Fue la condesa de San Mateo. Se casó con el marques del Jaral de Berrio Miguel de Berrio y Zaldívar. Murió en 1804. ,,,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_de_la_Campa_y_Cos,,
60,"Francisco Javier, Visión de ","La vida de san Francisco, al igual que la de muchos santos de la primera modernidad, se convirtió en un tema pictórico en el que se retratan tanto episodios conocidos de la vida del santo, como eventos apócrifos: la representación de visiones de Jesús, ángeles y la virgen.  ",,,http://www.museocolonial.gov.co/colecciones/piezas-del-mes/Paginas/01_MC-Aparicion_Virgen_a_san_Francisco_Javier.aspx ,,
61,"Francisco Javier, san","Nació en el castillo de Javier (Navarra) el año 1506. Fue ordenado sacerdote en Roma el año 1537, y se dedicó a obras de caridad. El año 1541 marchó al Oriente. Evangelizó incansablemente la India y el Japón durante diez años, y convirtió muchos a la fe. Murió el año 1552 en la isla de Sanchón Sancián, a las puertas de China. El Papa Pío X lo nombró patrono oficial de las misiones extranjeras y de todas las obras relacionadas con la propagación de la fe. ",1552,1619 - 1622,,,
62,"Ana Monteagudo, beata","Sor Ana de los Ángeles Monteagudo, fue una religiosa católica peruana de la Orden de los Predicadores. Se unió al Monasterio de Santa Catalina de Siena, donde desempeño cargos de sacristán, maestra de novicias y priora. Se le atribuyen visiones de santa Catalina, Felipe IV de España, la Virgen y san Nicolás de Tolentino. ",1686,1985 -  sf,"https://es.catholic.net/op/articulos/35810/ana-de-los-ngeles-monteagudo-beata.html 
https://es.wikipedia.org/wiki/Ana_Monteagudo_Ponce_de_Le%C3%B3n  
",,
63,"Ana, santa","Figura bíblica del Nuevo Testamento, madre de María y abuela materna de Jesús. Su denominación como santa y el culto a ella se introdujo ya en la Iglesia oriental en el siglo VI, y pasó a la occidental en el siglo X. Todo lo que se conoce de su vida, incluso su nombre, procede de literatura apócrifa",,,https://www.ecured.cu/Santa_Ana_(madre_de_la_virgen_Mar%C3%ADa),,
64,Anacoretas y ermitaños,"Para el siglo IV surge el denominado anacoretismo como movimiento propio del cristianismo que buscaba una vida lejos de las distracciones, vicios y mundo cotidiano, para dedicarse enteramente al estudio de las enseñanzas de cristo. A diferencia de los ermitaños esto no implica una intención de soledad individual, con la que si cuentan estos últimos y que busca alcanzar un estado de paz que permita la contemplación, oración o simplemente estar en contacto con el yo interior. ",,,https://serhumano.io/curiosidades/anacoreta-y-ermitano-mira-su-relacion/,,
25,"Retrato eclesiástico académicos, bachilleres, rectores","La narración visual del retrato de sacerdotes enfatizaba en algunas ocasiones su carácter académico, como bachilleres o rectores. Se les caracteriza por la beca académica, bibliotecas como escenarios de fondo o libros que manifiestan su especialización, además de la cartela explicativa. Buena parte de la trasmisión de la cultura y la educación colonial, reposó sobre estos personajes.",,,https://losingeniosdelpincel.uniandes.edu.co/el-retrato-religioso-masculino-y-femenino/,,
66,"Gregorio, Misa de san ",Hace referencia a un pasaje de la vida de San Gregorio Magno que narra la aparición de cristo mientras este celebraba la misa. El relato se consolidó como uno de los temas más representativos de la pintura de los siglos XV y XVI ya que el mensaje que trasmite es el de un testimonio milagroso de la transubstanciación y la verdadera conversión del pan y del vino en el cuerpo y sangre de cristo. ,,,"Ibáñez, Miguel (1991) La misa de san Gregorio: Aclaraciones de un asunto iconográfico. Universidad del país Vasco.",,
67,Hércules y el centauro Neso,"El tema de esta pintura está relatado en la Metamorfosis de Ovidio ( 9:101.113). Al llegar Hércules y Deyanira a las orillas del río Eveno, encontraron al centauro Neso, que se dedicaba a pasar a los caminantes a la otra orilla, a cambio de dinero. Mientras llevaba a Deyanira, Neso intentó violarla. Hércules escuchó los gritos y atacó al centauro. Antes de morir, y sabiendo que su sangre estaba envenenada por la hidra que utilizaba Hércules, le aconsejó a Deyanira que recogiera su sangre y la utilizara como filtro amoroso. Deyanira untó la túnica de cuero y Hércules murió lentamente.",,,"Falcon Et. Alt,  TI 318-319",,
68,Anastasio,"Este santo se puede identificar por la cartela o la inscripción, y se puede inferir su condición de mártir en la secuencia de pinturas. Sin embargo, existen alrededor de 14 Anastasios mártires que vivieron entre el siglo II y el VIII. Las iconografías coloniales muchas veces no solian ser explícitas acerca del tipo de santo representado.",,,,,
69,Inmaculada alada,"La representación de la mujer del apocalipsis o las inmaculadas aladas, es anterior al siglo XV. Pero sólo hasta el siglo XVII se definió mejor su iconografía, pues resultaba difícil representar un tema tan abstracto. Francisco Pacheco, en su tratado de pintura, estableció la estructura básica que tomó del Apocalipsis 12:1, aunque ya en el siglo XII Buenaventura lo había relacionado. Generalmente se plantea en dos planos, la virgen triunfante y la bestia pisada. Esta imagen suele representar a la Iglesia triunfante.",,,Biblia de Jerusalén,,
70,"Andrés, Apóstol","Fue el primer apóstol llamado por Jesús, hermano mayor de Pedro. La tradición cuenta que fue crucificado en Patras, capital de la provincia de Acaya en Grecia, donde lo amarraron a una cruz en forma de X durante tres días, en los cuales predicó hasta morir. Su apostolado lo realizaría en Thraina, Scithia, Capadocia, Galacia e Etiopía, llevando el evangelio a los infieles y realizando importante conversiones al mundo católico. La Iglesia de Constantinopla lo venera como patrono.",,,https://www.ecured.cu/Ap%C3%B3stol_Andr%C3%A9s ,,
72,"Ángela de Foligno, Beata","Nació en una familia noble en 1248. Vivió normalmente hasta 1285, cuando sufrió una crisis interior, buscando apoyo en la religión cristiana. En 1290 ingresó en la Tercera orden de San Francisco. A partir de su conversión, Ángela tuvo intensas experiencias místicas, especialmente visiones en torno a la Pasión de Cristo y apariciones de san Francisco de Asís. ",1309,1693 - 2013,https://www.vaticannews.va/es/santos/01/04/s--angela-de-foligno--religiosa-franciscana.html,,
73,Alegoría de la Vida de Josefa de Castillo,"Esta imagen representa una alegoría de la vida de  la monja Josefa de Castillo, a partir de sus dos obras. Retoma los elementos centrales de su vida: Jesús Niño, el centro de sus meditaciones, se quita la corona de espinas para entregársela, misma que tiene sobre su cabeza. Lo demás se escenifica en los símbolos presentes en la obra: el libro, el crucifijo, el pájaro, la pasión. Estos elementos representan alegóricamente sus prácticas ascéticas y sus experiencias místicas, así como los tormentos corporales (enfermedades, dolores, desmayos). Monja neogranadina, nacida en Tunja en 1671. Entró al convento de las Clarisas de dicha ciudad, donde ocupó diversos cargos, entre ellos, sacristana, portera, enfermera, maestra de novicias, y abadesa. En 1696 entró en un período místico que recoge en su narración biográfica, escrita por mandato de su confesor, e influidos por Juana de la Cruz. Murió con fama de santa.",,,Su Vida; Afectos espirituales,,
74,Coro de Ángeles,"Clasificación o agrupación de ángeles. La tradición medieval aceptada por los católicos identifica tres coros: Primer Coro “Los Consejeros “compuesto por serafines, querubines y tronos, quienes están en constante alabanza de la deidad; segundo coro “Los Gobernadores”, las dominaciones, virtudes y potestades, quienes gobiernan el cielo; el tercer coro “Los Mensajeros”, los principados, arcángeles y ángeles, son las jerarquías inferiores que tienen contacto con los hombres.",,,https://losingeniosdelpincel.uniandes.edu.co/herramientas/infografia-de-los-angeles/ ,,
75,"Rita de Casia, santa","Nació en Mayo del año 1381, en Casia. A la muerte de su esposo e hijos, ingresó al monasterio de María Magdalena de Casia. Debido a su intensa devoción mística a la pasión de Cristo, recibió los estigmas de una de las espinas de la corana de Cristo en su frente. Tuvo fama de taumaturga y es conocida como abogada de las causas imposibles.",1457,1627 - 1900,,,
76,Ángeles de la Pasión,"Llamados también ángeles pasionales, se caracterizan por tener símbolos de la pasión de Cristo como la corona de espinas, los dados, el paño de la Verónica, el azote, los clavos y martillo, etc. Su iconografía responde a la de un ángel  tradicional aunque también suelen representarse con elementos militares. ",,,https://losingeniosdelpincel.uniandes.edu.co/angeles-en-la-america-colonial/   ,,
