id,artwork_id,engraving_id,nombre
41896,17,16,Escena: compuesta
41897,17,19,Personajes: sagrados
41898,18,2,Personaje colectivo
41899,18,4,Género masculino
41900,18,8,Edad: adulto
41901,18,11,Personaje: contacto corporal
41902,18,16,Escena: compuesta
41903,18,19,Personajes: sagrados
7797,19,3,Personaje individual
7798,19,5,Género femenino
7799,19,8,Edad: adulto
7800,19,12,Presencia: niños
7801,19,16,Escena: compuesta
7802,19,17,Personajes: sagrados y profanos
68623,21,8,Edad: adulto
68624,21,9,Edad: anciano
68625,21,16,Escena: compuesta
68626,21,5,Género femenino
68627,21,4,Género masculino
68628,21,2,Personaje colectivo
68629,21,19,Personajes: sagrados
47561,22,3,Personaje individual
47562,22,4,Género masculino
47563,22,8,Edad: adulto
47564,22,10,Personaje: desnudo parcial / total
47565,22,15,Escena: simple
47566,22,19,Personajes: sagrados
10887,24,2,Personaje colectivo
10888,24,4,Género masculino
10889,24,5,Género femenino
10890,24,8,Edad: adulto
10891,24,9,Edad: anciano
10892,24,12,Presencia: niños
10893,24,16,Escena: compuesta
10894,24,19,Personajes: sagrados
88873,27,7,Edad: adolescencia-juventud
88874,27,8,Edad: adulto
88875,27,9,Edad: anciano
88876,27,6,Edad: niñez
88877,27,16,Escena: compuesta
88878,27,14,Género masculino/femenino
88879,27,2,Personaje colectivo
88880,27,11,Personaje: contacto corporal
88881,27,10,Personaje: desnudo parcial / total
88882,27,19,Personajes: sagrados
88883,27,13,Presencia: animales
88884,27,12,Presencia: niños
88885,28,7,Edad: adolescencia-juventud
88886,28,8,Edad: adulto
88887,28,9,Edad: anciano
88888,28,6,Edad: niñez
88889,28,16,Escena: compuesta
88890,28,14,Género masculino/femenino
88891,28,2,Personaje colectivo
88892,28,11,Personaje: contacto corporal
88893,28,19,Personajes: sagrados
88894,28,13,Presencia: animales
88895,28,12,Presencia: niños
54247,31,8,Edad: adulto
54248,31,15,Escena: simple
54249,31,4,Género masculino
54250,31,3,Personaje individual
54251,31,18,Personajes: profanos
47371,32,2,Personaje colectivo
47372,32,4,Género masculino
47373,32,8,Edad: adulto
47374,32,11,Personaje: contacto corporal
47375,32,15,Escena: simple
47376,32,17,Personajes: sagrados y profanos
55635,33,8,Edad: adulto
55636,33,15,Escena: simple
55637,33,4,Género masculino
55638,33,3,Personaje individual
55639,33,19,Personajes: sagrados
53908,34,8,Edad: adulto
53909,34,9,Edad: anciano
53910,34,6,Edad: niñez
53911,34,15,Escena: simple
53912,34,14,Género masculino/femenino
53913,34,2,Personaje colectivo
53914,34,10,Personaje: desnudo parcial / total
53915,34,17,Personajes: sagrados y profanos
53916,34,12,Presencia: niños
64447,35,8,Edad: adulto
64448,35,14,Género masculino/femenino
64449,35,2,Personaje colectivo
64450,35,17,Personajes: sagrados y profanos
64753,36,8,Edad: adulto
64754,36,15,Escena: simple
64755,36,14,Género masculino/femenino
64756,36,2,Personaje colectivo
64757,36,17,Personajes: sagrados y profanos
50584,38,8,Edad: adulto
50585,38,9,Edad: anciano
50586,38,14,Género masculino/femenino
50587,38,2,Personaje colectivo
50588,38,19,Personajes: sagrados
50589,38,13,Presencia: animales
78048,40,8,Edad: adulto
78049,40,9,Edad: anciano
78050,40,6,Edad: niñez
78051,40,15,Escena: simple
78052,40,14,Género masculino/femenino
78053,40,2,Personaje colectivo
78054,40,11,Personaje: contacto corporal
78055,40,10,Personaje: desnudo parcial / total
78056,40,3,Personaje individual
78057,40,19,Personajes: sagrados
78058,40,13,Presencia: animales
78059,40,12,Presencia: niños
7803,41,2,Personaje colectivo
7804,41,5,Género femenino
7805,41,8,Edad: adulto
7806,41,16,Escena: compuesta
7807,41,18,Personajes: profanos
8875,42,3,Personaje individual
8876,42,7,Edad: adolescencia-juventud
8877,42,15,Escena: simple
8878,42,19,Personajes: sagrados
47573,43,3,Personaje individual
47574,43,4,Género masculino
47575,43,8,Edad: adulto
47576,43,10,Personaje: desnudo parcial / total
47577,43,15,Escena: simple
47578,43,19,Personajes: sagrados
71609,44,8,Edad: adulto
71610,44,6,Edad: niñez
71611,44,15,Escena: simple
71612,44,14,Género masculino/femenino
71613,44,2,Personaje colectivo
71614,44,11,Personaje: contacto corporal
71615,44,19,Personajes: sagrados
9517,46,2,Personaje colectivo
9518,46,4,Género masculino
9519,46,5,Género femenino
9520,46,7,Edad: adolescencia-juventud
9521,46,8,Edad: adulto
9522,46,13,Presencia: animales
9523,46,16,Escena: compuesta
9524,46,18,Personajes: profanos
9525,47,2,Personaje colectivo
9526,47,4,Género masculino
9527,47,5,Género femenino
9528,47,8,Edad: adulto
9529,47,12,Presencia: niños
9530,47,16,Escena: compuesta
9531,47,19,Personajes: sagrados
9532,48,2,Personaje colectivo
9533,48,4,Género masculino
9534,48,5,Género femenino
9535,48,8,Edad: adulto
9536,48,9,Edad: anciano
9537,48,12,Presencia: niños
9538,48,16,Escena: compuesta
9539,48,19,Personajes: sagrados
9540,49,2,Personaje colectivo
9541,49,4,Género masculino
9542,49,5,Género femenino
9543,49,8,Edad: adulto
9544,49,12,Presencia: niños
9545,49,16,Escena: compuesta
9546,49,19,Personajes: sagrados
9547,50,2,Personaje colectivo
9548,50,5,Género femenino
9549,50,8,Edad: adulto
9550,50,12,Presencia: niños
9551,50,16,Escena: compuesta
9552,50,17,Personajes: sagrados y profanos
9553,51,2,Personaje colectivo
9554,51,4,Género masculino
9555,51,5,Género femenino
9556,51,8,Edad: adulto
9557,51,12,Presencia: niños
9558,51,16,Escena: compuesta
9559,51,19,Personajes: sagrados
9560,52,2,Personaje colectivo
9561,52,4,Género masculino
9562,52,5,Género femenino
9563,52,8,Edad: adulto
9564,52,12,Presencia: niños
9565,52,16,Escena: compuesta
9566,52,17,Personajes: sagrados y profanos
9598,54,2,Personaje colectivo
9599,54,4,Género masculino
9600,54,5,Género femenino
9601,54,8,Edad: adulto
9602,54,12,Presencia: niños
9603,54,13,Presencia: animales
9604,54,16,Escena: compuesta
9605,54,19,Personajes: sagrados
9606,55,2,Personaje colectivo
9607,55,4,Género masculino
9608,55,5,Género femenino
9609,55,8,Edad: adulto
9610,55,12,Presencia: niños
9611,55,13,Presencia: animales
9612,55,16,Escena: compuesta
9613,55,19,Personajes: sagrados
9614,56,2,Personaje colectivo
9615,56,4,Género masculino
9616,56,5,Género femenino
9617,56,8,Edad: adulto
9618,56,12,Presencia: niños
9619,56,16,Escena: compuesta
9620,56,19,Personajes: sagrados
9621,57,3,Personaje individual
9622,57,5,Género femenino
9623,57,8,Edad: adulto
9624,57,13,Presencia: animales
9625,57,16,Escena: compuesta
9626,57,19,Personajes: sagrados
9627,58,2,Personaje colectivo
9628,58,4,Género masculino
9629,58,5,Género femenino
9630,58,8,Edad: adulto
9631,58,9,Edad: anciano
9632,58,12,Presencia: niños
9633,58,13,Presencia: animales
9634,58,16,Escena: compuesta
9635,58,17,Personajes: sagrados y profanos
9636,59,3,Personaje individual
9637,59,5,Género femenino
9638,59,8,Edad: adulto
9639,59,12,Presencia: niños
9640,59,16,Escena: compuesta
9641,59,17,Personajes: sagrados y profanos
9642,60,2,Personaje colectivo
9643,60,4,Género masculino
9645,60,8,Edad: adulto
9647,60,19,Personajes: sagrados
26911,60,15,Escena: simple
9648,61,2,Personaje colectivo
9649,61,4,Género masculino
9650,61,5,Género femenino
9651,61,7,Edad: adolescencia-juventud
9652,61,8,Edad: adulto
9653,61,13,Presencia: animales
9654,61,16,Escena: compuesta
9655,61,18,Personajes: profanos
9656,62,2,Personaje colectivo
9657,62,4,Género masculino
9658,62,5,Género femenino
9659,62,7,Edad: adolescencia-juventud
9660,62,8,Edad: adulto
9661,62,13,Presencia: animales
9662,62,16,Escena: compuesta
9663,62,18,Personajes: profanos
79694,63,7,Edad: adolescencia-juventud
79695,63,9,Edad: anciano
79696,63,6,Edad: niñez
79697,63,16,Escena: compuesta
79698,63,14,Género masculino/femenino
79699,63,2,Personaje colectivo
79700,63,11,Personaje: contacto corporal
79701,63,10,Personaje: desnudo parcial / total
79702,63,19,Personajes: sagrados
79703,63,12,Presencia: niños
9664,64,2,Personaje colectivo
9665,64,4,Género masculino
9666,64,5,Género femenino
9667,64,8,Edad: adulto
9668,64,9,Edad: anciano
9669,64,12,Presencia: niños
9670,64,16,Escena: compuesta
9671,64,17,Personajes: sagrados y profanos
9672,65,2,Personaje colectivo
9673,65,4,Género masculino
9674,65,5,Género femenino
9675,65,8,Edad: adulto
9676,65,16,Escena: compuesta
9677,65,17,Personajes: sagrados y profanos
9678,66,2,Personaje colectivo
9679,66,4,Género masculino
9680,66,5,Género femenino
9681,66,8,Edad: adulto
9682,66,16,Escena: compuesta
9683,66,18,Personajes: profanos
9684,68,2,Personaje colectivo
9685,68,5,Género femenino
9686,68,8,Edad: adulto
9687,68,16,Escena: compuesta
9688,68,19,Personajes: sagrados
50590,69,8,Edad: adulto
50591,69,15,Escena: simple
50592,69,14,Género masculino/femenino
50593,69,2,Personaje colectivo
50594,69,11,Personaje: contacto corporal
50595,69,19,Personajes: sagrados
50596,69,13,Presencia: animales
9689,70,2,Personaje colectivo
9690,70,4,Género masculino
9691,70,5,Género femenino
9692,70,8,Edad: adulto
9693,70,13,Presencia: animales
9694,70,16,Escena: compuesta
9695,70,19,Personajes: sagrados
9696,71,3,Personaje individual
9697,71,5,Género femenino
9698,71,8,Edad: adulto
9699,71,13,Presencia: animales
9700,71,16,Escena: compuesta
9701,71,19,Personajes: sagrados
1671,72,2,Personaje colectivo
1672,72,14,Género masculino/femenino
1673,72,16,Escena: compuesta
1674,72,19,Personajes: sagrados
45278,72,6,Edad: niñez
45279,72,10,Personaje: desnudo parcial / total
9702,73,2,Personaje colectivo
9703,73,4,Género masculino
9704,73,5,Género femenino
9705,73,8,Edad: adulto
9706,73,12,Presencia: niños
9707,73,16,Escena: compuesta
9708,73,19,Personajes: sagrados
82520,74,7,Edad: adolescencia-juventud
82521,74,6,Edad: niñez
82522,74,15,Escena: simple
82523,74,14,Género masculino/femenino
82524,74,2,Personaje colectivo
82525,74,11,Personaje: contacto corporal
82526,74,19,Personajes: sagrados
82527,74,12,Presencia: niños
9709,75,2,Personaje colectivo
9710,75,4,Género masculino
9711,75,5,Género femenino
9712,75,8,Edad: adulto
9713,75,12,Presencia: niños
9714,75,16,Escena: compuesta
9715,75,19,Personajes: sagrados
13049,76,2,Personaje colectivo
13050,76,7,Edad: adolescencia-juventud
13051,76,15,Escena: simple
13052,76,19,Personajes: sagrados
9716,77,2,Personaje colectivo
9717,77,4,Género masculino
9718,77,5,Género femenino
9719,77,8,Edad: adulto
9720,77,9,Edad: anciano
9721,77,12,Presencia: niños
9722,77,16,Escena: compuesta
9723,77,19,Personajes: sagrados
11179,78,3,Personaje individual
11180,78,15,Escena: simple
11181,78,19,Personajes: sagrados
9724,79,2,Personaje colectivo
9725,79,4,Género masculino
9726,79,5,Género femenino
9727,79,8,Edad: adulto
9728,79,9,Edad: anciano
9729,79,16,Escena: compuesta
9730,79,19,Personajes: sagrados
13053,80,2,Personaje colectivo
13054,80,15,Escena: simple
13055,80,19,Personajes: sagrados
9731,81,2,Personaje colectivo
9732,81,4,Género masculino
9733,81,5,Género femenino
9734,81,8,Edad: adulto
9735,81,9,Edad: anciano
9736,81,12,Presencia: niños
9737,81,13,Presencia: animales
9738,81,16,Escena: compuesta
9739,81,19,Personajes: sagrados
13056,82,2,Personaje colectivo
13057,82,15,Escena: simple
13058,82,19,Personajes: sagrados
9740,83,2,Personaje colectivo
9741,83,4,Género masculino
9742,83,5,Género femenino
9743,83,8,Edad: adulto
9744,83,12,Presencia: niños
9745,83,16,Escena: compuesta
9746,83,19,Personajes: sagrados
9747,84,2,Personaje colectivo
9748,84,4,Género masculino
9749,84,5,Género femenino
9750,84,8,Edad: adulto
9751,84,12,Presencia: niños
9752,84,16,Escena: compuesta
9753,84,19,Personajes: sagrados
13059,85,2,Personaje colectivo
13060,85,7,Edad: adolescencia-juventud
13061,85,15,Escena: simple
13062,85,19,Personajes: sagrados
9754,86,2,Personaje colectivo
9755,86,4,Género masculino
9756,86,5,Género femenino
9757,86,8,Edad: adulto
9758,86,12,Presencia: niños
9759,86,16,Escena: compuesta
9760,86,17,Personajes: sagrados y profanos
8879,87,3,Personaje individual
8880,87,7,Edad: adolescencia-juventud
8881,87,15,Escena: simple
8882,87,19,Personajes: sagrados
9767,88,2,Personaje colectivo
9768,88,4,Género masculino
9769,88,5,Género femenino
9770,88,8,Edad: adulto
9771,88,16,Escena: compuesta
9772,88,19,Personajes: sagrados
50597,89,8,Edad: adulto
50598,89,15,Escena: simple
50599,89,14,Género masculino/femenino
50600,89,11,Personaje: contacto corporal
50601,89,19,Personajes: sagrados
8722,90,2,Personaje colectivo
8723,90,15,Escena: simple
8724,90,19,Personajes: sagrados
9761,91,2,Personaje colectivo
9762,91,5,Género femenino
9763,91,8,Edad: adulto
9764,91,12,Presencia: niños
9765,91,16,Escena: compuesta
9766,91,17,Personajes: sagrados y profanos
9773,92,2,Personaje colectivo
9774,92,5,Género femenino
9775,92,8,Edad: adulto
9776,92,12,Presencia: niños
9777,92,16,Escena: compuesta
9778,92,17,Personajes: sagrados y profanos
50602,93,8,Edad: adulto
50603,93,14,Género masculino/femenino
50604,93,2,Personaje colectivo
50605,93,19,Personajes: sagrados
9779,94,2,Personaje colectivo
9780,94,4,Género masculino
9781,94,5,Género femenino
9782,94,8,Edad: adulto
9783,94,12,Presencia: niños
9784,94,16,Escena: compuesta
9785,94,19,Personajes: sagrados
50606,95,8,Edad: adulto
50607,95,14,Género masculino/femenino
50608,95,2,Personaje colectivo
50609,95,11,Personaje: contacto corporal
50610,95,19,Personajes: sagrados
50611,95,13,Presencia: animales
9786,96,2,Personaje colectivo
9787,96,4,Género masculino
9788,96,5,Género femenino
9789,96,8,Edad: adulto
9790,96,12,Presencia: niños
9791,96,16,Escena: compuesta
9792,96,19,Personajes: sagrados
9793,97,2,Personaje colectivo
9794,97,4,Género masculino
9795,97,5,Género femenino
9796,97,8,Edad: adulto
9797,97,12,Presencia: niños
9798,97,16,Escena: compuesta
9799,97,19,Personajes: sagrados
5387,98,2,Personaje colectivo
5388,98,6,Edad: niñez
5389,98,7,Edad: adolescencia-juventud
5390,98,12,Presencia: niños
5402,98,19,Personajes: sagrados
9800,99,2,Personaje colectivo
9801,99,4,Género masculino
9802,99,5,Género femenino
9803,99,8,Edad: adulto
9804,99,12,Presencia: niños
9805,99,16,Escena: compuesta
9806,99,17,Personajes: sagrados y profanos
12092,100,3,Personaje individual
12093,100,4,Género masculino
12094,100,10,Personaje: desnudo parcial / total
12095,100,15,Escena: simple
12096,100,18,Personajes: profanos
9807,101,2,Personaje colectivo
9808,101,4,Género masculino
9809,101,5,Género femenino
9810,101,8,Edad: adulto
9811,101,9,Edad: anciano
9812,101,16,Escena: compuesta
9813,101,17,Personajes: sagrados y profanos
9814,102,2,Personaje colectivo
9815,102,4,Género masculino
9816,102,5,Género femenino
9817,102,8,Edad: adulto
9818,102,16,Escena: compuesta
9819,102,17,Personajes: sagrados y profanos
5392,103,3,Personaje individual
5393,103,7,Edad: adolescencia-juventud
5394,103,15,Escena: simple
5395,103,19,Personajes: sagrados
9820,104,2,Personaje colectivo
9821,104,4,Género masculino
9822,104,5,Género femenino
9823,104,8,Edad: adulto
9824,104,12,Presencia: niños
9825,104,16,Escena: compuesta
9826,104,17,Personajes: sagrados y profanos
57134,105,8,Edad: adulto
57135,105,5,Género femenino
57136,105,4,Género masculino
57137,105,2,Personaje colectivo
57138,105,19,Personajes: sagrados
9827,106,2,Personaje colectivo
9828,106,4,Género masculino
9829,106,5,Género femenino
9830,106,8,Edad: adulto
9831,106,16,Escena: compuesta
9832,106,17,Personajes: sagrados y profanos
9833,107,2,Personaje colectivo
9834,107,4,Género masculino
9835,107,5,Género femenino
9836,107,8,Edad: adulto
9837,107,16,Escena: compuesta
9838,107,17,Personajes: sagrados y profanos
12228,108,3,Personaje individual
12229,108,15,Escena: simple
12230,108,19,Personajes: sagrados
9839,109,2,Personaje colectivo
9840,109,4,Género masculino
9841,109,5,Género femenino
9842,109,8,Edad: adulto
9843,109,16,Escena: compuesta
9844,109,17,Personajes: sagrados y profanos
11453,110,2,Personaje colectivo
11454,110,6,Edad: niñez
11455,110,7,Edad: adolescencia-juventud
11456,110,15,Escena: simple
11457,110,19,Personajes: sagrados
9845,111,2,Personaje colectivo
9846,111,4,Género masculino
9847,111,5,Género femenino
9848,111,8,Edad: adulto
9849,111,16,Escena: compuesta
9850,111,17,Personajes: sagrados y profanos
9851,112,2,Personaje colectivo
9852,112,4,Género masculino
9853,112,5,Género femenino
9854,112,8,Edad: adulto
9855,112,16,Escena: compuesta
9856,112,17,Personajes: sagrados y profanos
54761,113,14,Género masculino/femenino
54762,113,2,Personaje colectivo
54763,113,10,Personaje: desnudo parcial / total
54764,113,19,Personajes: sagrados
54765,113,12,Presencia: niños
79964,113,7,Edad: adolescencia-juventud
79965,113,6,Edad: niñez
79966,113,16,Escena: compuesta
9860,114,2,Personaje colectivo
9861,114,4,Género masculino
9862,114,5,Género femenino
9863,114,8,Edad: adulto
9864,114,16,Escena: compuesta
9865,114,19,Personajes: sagrados
9866,115,2,Personaje colectivo
9867,115,4,Género masculino
9868,115,5,Género femenino
9869,115,8,Edad: adulto
9870,115,12,Presencia: niños
9871,115,16,Escena: compuesta
9872,115,17,Personajes: sagrados y profanos
64758,116,8,Edad: adulto
64759,116,15,Escena: simple
64760,116,5,Género femenino
64761,116,2,Personaje colectivo
64762,116,19,Personajes: sagrados
64763,116,12,Presencia: niños
9873,118,3,Personaje individual
9874,118,5,Género femenino
9875,118,8,Edad: adulto
9876,118,13,Presencia: animales
9877,118,16,Escena: compuesta
9878,118,19,Personajes: sagrados
50612,120,8,Edad: adulto
50613,120,9,Edad: anciano
50614,120,15,Escena: simple
50615,120,14,Género masculino/femenino
50616,120,2,Personaje colectivo
50617,120,19,Personajes: sagrados
10344,121,2,Personaje colectivo
10345,121,8,Edad: adulto
10346,121,12,Presencia: niños
10347,121,14,Género masculino/femenino
10348,121,16,Escena: compuesta
10349,121,17,Personajes: sagrados y profanos
10350,123,2,Personaje colectivo
10351,123,4,Género masculino
10352,123,5,Género femenino
10353,123,8,Edad: adulto
10354,123,16,Escena: compuesta
10355,123,17,Personajes: sagrados y profanos
10356,124,2,Personaje colectivo
10357,124,4,Género masculino
10358,124,5,Género femenino
10359,124,8,Edad: adulto
10360,124,16,Escena: compuesta
10361,124,17,Personajes: sagrados y profanos
52218,125,8,Edad: adulto
52219,125,6,Edad: niñez
52220,125,15,Escena: simple
52221,125,14,Género masculino/femenino
52225,125,12,Presencia: niños
77663,125,11,Personaje: contacto corporal
77664,125,10,Personaje: desnudo parcial / total
77665,125,19,Personajes: sagrados
10362,127,2,Personaje colectivo
10363,127,5,Género femenino
10364,127,8,Edad: adulto
10365,127,16,Escena: compuesta
10366,127,17,Personajes: sagrados y profanos
24615,128,2,Personaje colectivo
24616,128,6,Edad: niñez
24617,128,7,Edad: adolescencia-juventud
24618,128,8,Edad: adulto
24619,128,9,Edad: anciano
24620,128,10,Personaje: desnudo parcial / total
24621,128,12,Presencia: niños
24622,128,14,Género masculino/femenino
24623,128,15,Escena: simple
24624,128,17,Personajes: sagrados y profanos
50618,130,8,Edad: adulto
50619,130,9,Edad: anciano
50620,130,15,Escena: simple
50621,130,14,Género masculino/femenino
50622,130,2,Personaje colectivo
50623,130,19,Personajes: sagrados
50624,130,13,Presencia: animales
48312,131,2,Personaje colectivo
48313,131,8,Edad: adulto
48314,131,11,Personaje: contacto corporal
48315,131,14,Género masculino/femenino
48316,131,15,Escena: simple
48317,131,17,Personajes: sagrados y profanos
51624,132,8,Edad: adulto
51625,132,9,Edad: anciano
51626,132,6,Edad: niñez
51627,132,15,Escena: simple
51628,132,14,Género masculino/femenino
51629,132,2,Personaje colectivo
51630,132,11,Personaje: contacto corporal
51631,132,17,Personajes: sagrados y profanos
51632,132,13,Presencia: animales
51633,132,12,Presencia: niños
52226,133,8,Edad: adulto
52227,133,6,Edad: niñez
52228,133,15,Escena: simple
52229,133,14,Género masculino/femenino
52230,133,2,Personaje colectivo
52231,133,17,Personajes: sagrados y profanos
52232,133,13,Presencia: animales
52233,133,12,Presencia: niños
53917,134,8,Edad: adulto
53918,134,9,Edad: anciano
53919,134,6,Edad: niñez
53920,134,15,Escena: simple
53921,134,14,Género masculino/femenino
53922,134,2,Personaje colectivo
53923,134,11,Personaje: contacto corporal
53924,134,10,Personaje: desnudo parcial / total
53925,134,17,Personajes: sagrados y profanos
53926,134,12,Presencia: niños
36971,135,1,Imagen dentro de la imagen
36972,135,2,Personaje colectivo
36973,135,6,Edad: niñez
36974,135,8,Edad: adulto
36975,135,11,Personaje: contacto corporal
36976,135,12,Presencia: niños
36977,135,13,Presencia: animales
36978,135,14,Género masculino/femenino
36979,135,16,Escena: compuesta
36980,135,17,Personajes: sagrados y profanos
2533,136,2,Personaje colectivo
2534,136,6,Edad: niñez
2535,136,8,Edad: adulto
2536,136,10,Personaje: desnudo parcial / total
2537,136,12,Presencia: niños
2538,136,14,Género masculino/femenino
2539,136,16,Escena: compuesta
2540,136,17,Personajes: sagrados y profanos
29339,138,2,Personaje colectivo
29340,138,8,Edad: adulto
29341,138,9,Edad: anciano
29342,138,14,Género masculino/femenino
29343,138,16,Escena: compuesta
29344,138,19,Personajes: sagrados
64451,139,8,Edad: adulto
64452,139,15,Escena: simple
64453,139,14,Género masculino/femenino
64454,139,2,Personaje colectivo
64455,139,17,Personajes: sagrados y profanos
64764,140,8,Edad: adulto
64765,140,15,Escena: simple
64766,140,14,Género masculino/femenino
64767,140,2,Personaje colectivo
64768,140,10,Personaje: desnudo parcial / total
64769,140,17,Personajes: sagrados y profanos
64770,140,12,Presencia: niños
66251,141,8,Edad: adulto
66252,141,15,Escena: simple
66253,141,14,Género masculino/femenino
66254,141,2,Personaje colectivo
66255,141,10,Personaje: desnudo parcial / total
66256,141,19,Personajes: sagrados
66257,141,12,Presencia: niños
64456,143,8,Edad: adulto
64457,143,15,Escena: simple
64458,143,14,Género masculino/femenino
64459,143,2,Personaje colectivo
64460,143,17,Personajes: sagrados y profanos
66258,144,8,Edad: adulto
66259,144,15,Escena: simple
66260,144,14,Género masculino/femenino
66261,144,11,Personaje: contacto corporal
66262,144,19,Personajes: sagrados
6887,145,3,Personaje individual
6888,145,4,Género masculino
6889,145,9,Edad: anciano
6890,145,15,Escena: simple
6891,145,19,Personajes: sagrados
6892,146,3,Personaje individual
6893,146,4,Género masculino
6894,146,9,Edad: anciano
6895,146,15,Escena: simple
6896,146,19,Personajes: sagrados
8350,147,8,Edad: adulto
8351,147,15,Escena: simple
8352,147,19,Personajes: sagrados
27080,147,2,Personaje colectivo
27081,147,4,Género masculino
27082,147,9,Edad: anciano
27083,147,10,Personaje: desnudo parcial / total
82528,149,7,Edad: adolescencia-juventud
82529,149,15,Escena: simple
82530,149,5,Género femenino
82531,149,3,Personaje individual
82532,149,19,Personajes: sagrados
64771,150,8,Edad: adulto
64772,150,15,Escena: simple
64773,150,5,Género femenino
64774,150,2,Personaje colectivo
64775,150,10,Personaje: desnudo parcial / total
64776,150,19,Personajes: sagrados
64777,150,12,Presencia: niños
78258,151,8,Edad: adulto
78259,151,9,Edad: anciano
78260,151,15,Escena: simple
78261,151,4,Género masculino
78262,151,3,Personaje individual
78263,151,19,Personajes: sagrados
22,153,1,Imagen dentro de la imagen
23,153,2,Personaje colectivo
24,153,8,Edad: adulto
25,153,14,Género masculino/femenino
82508,153,15,Escena: simple
82509,153,19,Personajes: sagrados
20796,154,2,Personaje colectivo
20797,154,4,Género masculino
20798,154,8,Edad: adulto
20799,154,9,Edad: anciano
20800,154,10,Personaje: desnudo parcial / total
20801,154,16,Escena: compuesta
20802,154,19,Personajes: sagrados
23988,155,3,Personaje individual
23989,155,5,Género femenino
23990,155,6,Edad: niñez
23991,155,12,Presencia: niños
23992,155,15,Escena: simple
23993,155,19,Personajes: sagrados
81413,156,8,Edad: adulto
81414,156,15,Escena: simple
81415,156,4,Género masculino
81416,156,3,Personaje individual
81417,156,19,Personajes: sagrados
56900,157,8,Edad: adulto
56901,157,15,Escena: simple
56902,157,4,Género masculino
56903,157,10,Personaje: desnudo parcial / total
56904,157,3,Personaje individual
56905,157,19,Personajes: sagrados
56906,157,12,Presencia: niños
56907,158,8,Edad: adulto
56908,158,4,Género masculino
56909,158,3,Personaje individual
56910,158,19,Personajes: sagrados
10333,159,2,Personaje colectivo
10334,159,6,Edad: niñez
10335,159,14,Género masculino/femenino
10336,159,17,Personajes: sagrados y profanos
3995,160,4,Género masculino
3997,160,15,Escena: simple
3998,160,19,Personajes: sagrados
45664,160,6,Edad: niñez
45665,160,12,Presencia: niños
33035,162,3,Personaje individual
33036,162,4,Género masculino
33037,162,8,Edad: adulto
33038,162,15,Escena: simple
33039,162,19,Personajes: sagrados
41841,163,2,Personaje colectivo
41842,163,4,Género masculino
41843,163,5,Género femenino
41844,163,6,Edad: niñez
41845,163,8,Edad: adulto
41846,163,11,Personaje: contacto corporal
41847,163,12,Presencia: niños
41848,163,15,Escena: simple
41849,163,19,Personajes: sagrados
41850,166,2,Personaje colectivo
41851,166,4,Género masculino
41852,166,5,Género femenino
